id,GPR
TAGURr,b1521
PGLYCP,b3385
GLXCL,b0507
TARTD,b3062 and b3061
GLCRAL,b3126
KAS14,b2323 or b1095
EDTXS1,b1054
EDTXS2,b1855
EDTXS3,b2378
EDTXS4,b1855
NNDPR,b0109
HACD4,b3846 or b2341
HACD7,b2341 or b3846
AACPS1,b1094 and b2836
SDPDS,b2472
DMSOR1,( b1588 and b1589 and b1590 and b1587 ) or ( b0896 and b0895 and b0894 )
DKGLCNR2y,b3553
2DGULRy,b3553
RZ5PP,b0638
NTD9,b2361 or b2744 or b3399 or b0675
NTD10,b2744
ADPT,b0469
ADK1,b0474
OCTDPS,b3187
AACPS2,b1094 and b2836
AACPS3,b1094 and b2836
AACPS4,b2836 and b1094
AMANK,b3222
ACNML,b3225
CAT,b1732 or b3942
SERASr,b0586
DMSOR2,b0896 and b0895 and b0894
ACMAMUT,b3794
DDGALK,b3693
AB6PGH,b3721 or b2901 or b2716
AMALT1,b3416
MLTP2,b3417
PACCOAL,b1398
GP4GH,b0049
ACGAMT,b3784
AADDGT,b4481
GMHEPK,b3052
TRE6PS,b1896
UDCPDP,b1278 or b0841 or b3057
TREH,b3519
CYTK1,b0910
CYTK2,b0910
GK1,b3648
HACD1,b3846 or b2341
HACD2,b3846 or b2341
ACACCT,( b2222 and b2221 ) or b1694
BUTCT,b2222 and b2221
2DGULRx,b3553
G1PTT,b2039 or b3789
TDPGDH,b3788 or b2041
UDPGALM,b2036
TDPDRE,b2038
TDPDRR,b2040
G3PD6,b2242 and b2243 and b2241
ALLTN,b0512
UAPGR,b3972
NDPK7,b0474 or b2518
GLYAT,b3617
ADNUC,b0030
GMHEPPA,b0200
S7PI,b0222
TRPS3,b1260 and b1261
CRNBTCT,b0038
CRNCBCT,b0038
CRNCDH,b0036
FADRx,b3844
GTPDPK,b2784
NDPK2,b0474 or b2518
NDPK3,b2518 or b0474
NDPK4,b0474 or b2518
FCLT,b2431 or b0475 or b1019
HBZOPT,b4040
PNTK,b3974
DPCOAK,b0103
HETZK,b2104
KDOPS,b1215
KDOPP,b3198
AST,b1747
SGDS,b1744
CYNTAH,b0340
GSPMDA,b2988
GSPMDS,b2988
GUAD,b2883
TMAOR1,( b0896 and b0895 and b0894 ) or ( b1588 and b1589 and b1590 and b1587 )
TMAOR2,b0896 and b0895 and b0894
DGK1,b3648
DTMPK,b1098
NDPK1,b0474 or b2518
TRDR,( b0888 and b3781 ) or ( b2582 and b0888 )
PGMT,b0688 or b2690 or b1317
FRUK,b2168
RHCCE,b2687
KG6PDC,b4196 or b3581
X5PL3E,b4197 or b3582
DOGULNR,b3575
BETALDHx,b0312
BETALDHy,b0312
MLTG3,b0403
DKGLCNR1,b3012 or b0207
NADTRHD,b3962
FMNRx2,b0937 or b3844 or ( b2764 and b2763 )
ACPS1,b2563 or b3475
GMPS2,b2507
AMPN,b1982
GSNK,b0477
ADCS,b1812 and b3360
ADCL,b1096 or b4039
DHAPT,b2415 and b1198 and b1200 and b2416 and b1199
UMPK,b0910 or b0171
DDPGALA,b4477
DURIK1,b1238
UPPRT,b2498
CTPS2,b2780
NTD1,b2291 or b2744 or b4374 or b2361
NTD7,b3399 or b2744 or b2361 or b0675
PAPPT3,b0087
UAGPT3,b0090
F6PA,b0825 or b3946
AGMHE,b3619
GMHEPAT,b3052
IDOND,b4267
IDOND2,b4267
GLYCLTDx,b3553 or b1033
HPYRRy,b1033 or b3553
ACODA,b3957
ADA,b1623
DADA,b1623
ADD,b3665
ADSS,b4177
AGDC,b0677
ASNN,b1767 or b0828
ASNS2,b3744 or b0674
ASPCT,( b4244 and b4245 ) or b4245
DMPPS,b0029
MCOATA,b1094 and b1092
IPDPS,b0029
DAPE,b3809
DHDPRy,b0031
HSK,b0003
SDPTA,b2662 or b1302 or b3359 or b1748 or b0907
THRS,b0004
HSST,b4013
PPNDH,b2599
DDPA,b0754 or b2601 or b1704
NMNDA,b2700
NNAM,b1768
P5CD,b1014
SPMDAT1,b1584
SPMDAT2,b1584
TDPADGAT,b3790
MALS,b4014 or b2976
TRE6PP,b1897
ADPRDP,b3397 or b3034
ARAI,b0062
M1PD,b3600
G3PD2,b3608
GALS3,b4119
FCI,b2802
FCLK,b2803
FCLPA,b2738 or b2800
